"Event","Time Range","Time (ms)","Thread","Stack Trace","Detail","Level"
"File.Open #1","3s 81ms - 3s 84ms","2","<unknown>","ClasspathCache.getPackageNameHash","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #1","3s 85ms - 3s 88ms","3","<unknown>","ClasspathCache.getPackageNameHash","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #2","3s 89ms - 3s 89ms","0","<unknown>","ClasspathCache.getPackageNameHash","Bytes=191 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #1","3s 89ms - 3s 89ms","0","<unknown>","ClasspathCache.getPackageNameHash","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xx3UnencodedString.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #2","3s 90ms - 3s 90ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #3","3s 90ms - 3s 91ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #4","3s 91ms - 3s 91ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=172 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #2","3s 91ms - 3s 91ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #3","3s 92ms - 3s 92ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Access.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #5","3s 92ms - 3s 93ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=754 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Access.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #3","3s 93ms - 3s 93ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Access.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #4","3s 94ms - 3s 94ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #6","3s 94ms - 3s 95ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #7","3s 95ms - 3s 96ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,379 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #4","3s 96ms - 3s 96ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$BaseCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #5","3s 97ms - 3s 97ms","0","<unknown>","CharSequenceAccess.<clinit>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #8","3s 97ms - 3s 98ms","0","<unknown>","CharSequenceAccess.<clinit>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #9","3s 98ms - 3s 98ms","0","<unknown>","CharSequenceAccess.<clinit>","Bytes=670 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #5","3s 98ms - 3s 98ms","0","<unknown>","CharSequenceAccess.<clinit>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/CharSequenceAccess$LittleEndianCharSequenceAccess.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #6","3s 99ms - 3s 99ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #10","3s 100ms - 3s 101ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #11","3s 101ms - 3s 101ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #12","3s 101ms - 3s 101ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=4,096 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #13","3s 101ms - 3s 102ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Bytes=5,759 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #6","3s 102ms - 3s 102ms","0","<unknown>","Xx3UnencodedString.hashUnencodedStringRange","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.rt.java8/org/jetbrains/xxh3/Xxh3Impl.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #7","3s 106ms - 3s 106ms","0","<unknown>","PathClassLoader.lambda$static$1","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.boot/com/intellij/util/lang/ZipResourceFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #14","3s 106ms - 3s 106ms","0","<unknown>","PathClassLoader.lambda$static$1","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.boot/com/intellij/util/lang/ZipResourceFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #15","3s 106ms - 3s 107ms","0","<unknown>","PathClassLoader.lambda$static$1","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.boot/com/intellij/util/lang/ZipResourceFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #16","3s 107ms - 3s 108ms","1","<unknown>","PathClassLoader.lambda$static$1","Bytes=4,096 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.boot/com/intellij/util/lang/ZipResourceFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #17","3s 108ms - 3s 108ms","0","<unknown>","PathClassLoader.lambda$static$1","Bytes=844 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.boot/com/intellij/util/lang/ZipResourceFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #7","3s 108ms - 3s 108ms","0","<unknown>","PathClassLoader.lambda$static$1","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.boot/com/intellij/util/lang/ZipResourceFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #8","3s 110ms - 3s 110ms","0","<unknown>","PathClassLoader.lambda$static$1","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ClasspathCache$IndexRegistrar.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #18","3s 110ms - 3s 116ms","5","<unknown>","PathClassLoader.lambda$static$1","Bytes=924 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ClasspathCache$IndexRegistrar.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #8","3s 116ms - 3s 116ms","0","<unknown>","PathClassLoader.lambda$static$1","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ClasspathCache$IndexRegistrar.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #9","3s 117ms - 3s 118ms","0","<unknown>","PathClassLoader.lambda$static$1","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/Resource.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #19","3s 118ms - 3s 119ms","0","<unknown>","PathClassLoader.lambda$static$1","Bytes=459 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/Resource.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #9","3s 119ms - 3s 121ms","2","<unknown>","PathClassLoader.lambda$static$1","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/Resource.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #10","3s 122ms - 3s 122ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ZipFilePool.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #20","3s 122ms - 3s 123ms","0","<unknown>","ZipResourceFile.<init>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ZipFilePool.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #21","3s 123ms - 3s 123ms","0","<unknown>","ZipResourceFile.<init>","Bytes=13 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ZipFilePool.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #10","3s 123ms - 3s 123ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/ZipFilePool.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #11","3s 130ms - 3s 130ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ImmutableZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #22","3s 130ms - 3s 130ms","0","<unknown>","ZipResourceFile.<init>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ImmutableZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #23","3s 130ms - 3s 131ms","0","<unknown>","ZipResourceFile.<init>","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ImmutableZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #24","3s 131ms - 3s 131ms","0","<unknown>","ZipResourceFile.<init>","Bytes=4,096 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ImmutableZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #25","3s 131ms - 3s 131ms","0","<unknown>","ZipResourceFile.<init>","Bytes=4,901 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ImmutableZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #11","3s 131ms - 3s 131ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ImmutableZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #12","3s 133ms - 3s 133ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #26","3s 133ms - 3s 134ms","0","<unknown>","ZipResourceFile.<init>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #27","3s 134ms - 3s 134ms","0","<unknown>","ZipResourceFile.<init>","Bytes=881 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #12","3s 134ms - 3s 134ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #13","3s 136ms - 3s 136ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/DirectByteBufferBackedInputStream.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #28","3s 136ms - 3s 136ms","0","<unknown>","ZipResourceFile.<init>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/DirectByteBufferBackedInputStream.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #29","3s 136ms - 3s 136ms","0","<unknown>","ZipResourceFile.<init>","Bytes=1,497 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/DirectByteBufferBackedInputStream.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #13","3s 136ms - 3s 137ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/DirectByteBufferBackedInputStream.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #14","3s 141ms - 3s 141ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/UniversalHash.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #30","3s 141ms - 3s 143ms","1","<unknown>","ZipResourceFile.<init>","Bytes=436 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/UniversalHash.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #14","3s 143ms - 3s 143ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/UniversalHash.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #15","3s 145ms - 3s 145ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile$ZipResource.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #31","3s 145ms - 3s 147ms","1","<unknown>","ZipResourceFile.<init>","Bytes=695 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile$ZipResource.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #15","3s 147ms - 3s 147ms","0","<unknown>","ZipResourceFile.<init>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/com/intellij/util/lang/ZipFile$ZipResource.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #16","3s 256ms - 3s 256ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/UniversalHash$StringHash.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #32","3s 256ms - 3s 257ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=949 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/UniversalHash$StringHash.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #16","3s 257ms - 3s 257ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/UniversalHash$StringHash.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #17","3s 257ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #33","3s 258ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #34","3s 258ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #35","3s 258ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=4,096 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #36","3s 258ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=8,192 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #37","3s 258ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=9,726 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #17","3s 258ms - 3s 258ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitSettings.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #18","3s 272ms - 3s 272ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #38","3s 272ms - 3s 272ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #39","3s 272ms - 3s 272ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #40","3s 272ms - 3s 273ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=4,096 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #41","3s 273ms - 3s 273ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=216 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #18","3s 273ms - 3s 273ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #19","3s 275ms - 3s 276ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeAwareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #42","3s 276ms - 3s 276ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeAwareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #43","3s 276ms - 3s 276ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=1,824 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeAwareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #19","3s 276ms - 3s 276ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeAwareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #20","3s 279ms - 3s 279ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeUnawareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #44","3s 279ms - 3s 279ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeUnawareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #45","3s 280ms - 3s 280ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Bytes=636 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeUnawareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #20","3s 280ms - 3s 280ms","0","<unknown>","ImmutableZipFile.populateFromCentralDirectory","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/Ikv$SizeUnawareIkv.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #21","3s 284ms - 3s 285ms","1","<unknown>","Ikv.loadIkv","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitEvaluator.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #46","3s 286ms - 3s 286ms","0","<unknown>","Ikv.loadIkv","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitEvaluator.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #47","3s 286ms - 3s 287ms","0","<unknown>","Ikv.loadIkv","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitEvaluator.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #48","3s 287ms - 3s 287ms","0","<unknown>","Ikv.loadIkv","Bytes=1,798 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitEvaluator.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #21","3s 287ms - 3s 287ms","0","<unknown>","Ikv.loadIkv","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.zip/org/jetbrains/ikv/RecSplitEvaluator.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #22","3s 288ms - 3s 289ms","0","<unknown>","ClassPath.createLoader","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #49","3s 289ms - 3s 289ms","0","<unknown>","ClassPath.createLoader","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #50","3s 289ms - 3s 289ms","0","<unknown>","ClassPath.createLoader","Bytes=2,048 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #51","3s 289ms - 3s 289ms","0","<unknown>","ClassPath.createLoader","Bytes=4,096 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #52","3s 289ms - 3s 289ms","0","<unknown>","ClassPath.createLoader","Bytes=1,137 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader.class""   
Class=""java.io.FileInputStream""","1"
"File.Close #22","3s 289ms - 3s 289ms","0","<unknown>","ClassPath.createLoader","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader.class""   
Class=""java.io.FileInputStream""","1"
"File.Open #23","3s 292ms - 3s 292ms","0","<unknown>","JarLoader.<clinit>","Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader$Attribute.class""   
Class=""java.io.FileInputStream""","1"
"File.Read #53","3s 292ms - 3s 292ms","0","<unknown>","JarLoader.<clinit>","Bytes=1,024 — 
Path=""/Users/vakosta/Desktop/intellij-community/out/production/intellij.platform.util.classLoader/com/intellij/util/lang/JarLoader$Attribute.class""   
Class=""java.io.FileInputStream""","1"
