pd_timestamp,relative_timestamp,activity,activity_file,case_id,path
69777,108750131,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
69801,108750612,stat64,stat64 | usage.statistics,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/usage.statistics.xml\0"""
69825,108751904,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70030,108773428,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70053,108774874,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70077,108776511,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70098,108777205,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70124,108778555,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70170,108780670,access,access | kotlinc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/kotlinc.xml\0"""
70493,108794576,stat64,stat64 | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70495,108794650,open,open | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70502,108795212,lstat,lstat | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70598,108796283,open,open | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70655,108797740,open,open | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml.tmp\0"""
70659,108797875,access,access | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70665,108798013,rename,rename | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70669,108798123,rename,rename | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml.tmp\0"""
70671,108798159,lstat64,lstat64 | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml~\0"""
70674,108798216,unlink,unlink | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml~\0"""
70685,108798291,lstat,lstat | workspace.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/workspace.xml\0"""
70813,108799730,lstat,lstat | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
70822,108799820,lstat,lstat | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
70847,108800081,stat64,stat64 | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
70849,108800167,open,open | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
70852,108800628,lstat,lstat | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
70939,108801991,open,open | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
71007,108803348,open,open | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml.tmp\0"""
71016,108803444,access,access | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
71017,108803531,rename,rename | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
71018,108803587,rename,rename | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml.tmp\0"""
71019,108803605,lstat64,lstat64 | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml~\0"""
71021,108803636,unlink,unlink | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml~\0"""
71022,108803666,lstat,lstat | misc.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/misc.xml\0"""
71167,108805145,lstat,lstat | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
71175,108805217,lstat,lstat | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
71186,108805390,stat64,stat64 | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
71188,108805467,open,open | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
71197,108805908,lstat,lstat | compiler.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/.idea/compiler.xml\0"""
71660,431868,lstat,lstat | pom.xml,1,"""/Users/vakosta/Developer/IdeaProjects/Comnata_nmbr1/pom.xml\0"""
