,relative_timestamp,operation,p1,p2,p3
35472,5126140,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5840
35473,45581,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222F400
35474,5126150,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5840
35475,45593,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222F400
35477,5126154,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x700011FA5840
35478,45597,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x70001222F400
35480,5126163,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5840
35481,45607,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222F400
35482,5126171,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5840
35483,45614,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222F400
35484,45776,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222EB20
35485,45785,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222EB20
35486,5126356,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA57A0
35487,45789,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x70001222EB20
35488,5126365,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA57A0
35489,45797,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222EB20
35490,5126369,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x700011FA57A0
35491,45804,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222EB20
35492,5126377,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA57A0
35493,5126384,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA57A0
35494,5126580,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA57A0
35495,5126588,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA57A0
35497,5126592,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x700011FA57A0
35499,5126600,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA57A0
35500,5126607,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA57A0
35510,5127078,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5730
35512,5127087,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5730
35514,5127091,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x700011FA5730
35515,5127099,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5730
35516,5127106,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5730
35517,5127280,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5690
35518,5127289,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5690
35519,5127293,getattrlist,"""/Users/vakosta/.gradle\0""",0x7FF80D2E01D4,0x700011FA5690
35520,5127300,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5690
35521,5127308,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5690
35527,5127489,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x700011FA5690
35528,47069,getattrlist,"""/Users\0""",0x7FF80D2E01D4,0x70001222F330
35529,5127496,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x700011FA5690
35530,47079,getattrlist,"""/Users/vakosta\0""",0x7FF80D2E01D4,0x70001222F330
