,relative_timestamp,operation,p1,p2,p3
81071,1161943,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/http.request.name.index\0""",0x7000100A70E0,0x0
81072,1161998,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/angularjs.app.index\0""",0x1FF,0x0
81073,1162017,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/angularjs.app.index\0""",0x7000100A70E0,0x0
81074,1162022,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/angularjs.app.index\0""",0x1FF,0x0
81075,1162040,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/angularjs.app.index\0""",0x7000100A70E0,0x0
81076,1162093,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x1FF,0x0
81077,1162112,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x7000100A70E0,0x0
81078,1162117,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x1FF,0x0
81079,1162135,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x7000100A70E0,0x0
81080,1162178,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81081,1162197,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81082,1162202,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/gr.anonymous.class\0""",0x1FF,0x0
81083,1162219,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/gr.anonymous.class\0""",0x7000100A70E0,0x0
81084,1162223,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81085,1162239,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81086,1162243,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/gr.anonymous.class\0""",0x1FF,0x0
81087,1162260,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/gr.anonymous.class\0""",0x7000100A70E0,0x0
81088,1162301,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/org.jetbrains.kotlin.idea.vfilefinder.kotlinbuiltinsmetadataindex\0""",0x1FF,0x0
81089,1162321,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/org.jetbrains.kotlin.idea.vfilefinder.kotlinbuiltinsmetadataindex\0""",0x7000100A70E0,0x0
81090,1162326,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/org.jetbrains.kotlin.idea.vfilefinder.kotlinbuiltinsmetadataindex\0""",0x1FF,0x0
81091,1162344,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/org.jetbrains.kotlin.idea.vfilefinder.kotlinbuiltinsmetadataindex\0""",0x7000100A70E0,0x0
81092,1162387,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/java.binary.plus.expression\0""",0x1FF,0x0
81093,1162406,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/java.binary.plus.expression\0""",0x7000100A70E0,0x0
81094,1162410,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/java.binary.plus.expression\0""",0x1FF,0x0
81095,1162428,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/java.binary.plus.expression\0""",0x7000100A70E0,0x0
81096,1162481,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81097,1162501,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81098,1162505,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/java.class.fqn\0""",0x1FF,0x0
81099,1162523,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/java.class.fqn\0""",0x7000100A70E0,0x0
81100,1162527,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81101,1162544,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81102,1162548,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/java.class.fqn\0""",0x1FF,0x0
81103,1162565,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/java.class.fqn\0""",0x7000100A70E0,0x0
81104,1162604,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81105,1162623,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81106,1162627,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/gr.script.fqn\0""",0x1FF,0x0
81107,1162644,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/gr.script.fqn\0""",0x7000100A70E0,0x0
81108,1162648,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81109,1162665,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81110,1162669,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/gr.script.fqn\0""",0x1FF,0x0
81111,1162686,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/gr.script.fqn\0""",0x7000100A70E0,0x0
81112,1162724,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/todoindex\0""",0x1FF,0x0
81113,1162743,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/todoindex\0""",0x7000100A70E0,0x0
81114,1162748,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/todoindex\0""",0x1FF,0x0
81115,1162765,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/todoindex\0""",0x7000100A70E0,0x0
81116,1162819,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/spring.boot.importsfileindex\0""",0x1FF,0x0
81117,1162838,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/spring.boot.importsfileindex\0""",0x7000100A70E0,0x0
81118,1162843,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/spring.boot.importsfileindex\0""",0x1FF,0x0
81119,1162860,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/spring.boot.importsfileindex\0""",0x7000100A70E0,0x0
81120,1162913,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.stubs\0""",0x1FF,0x0
81121,1162932,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.stubs\0""",0x7000100A70E0,0x0
81122,1162937,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.stubs\0""",0x1FF,0x0
81123,1162954,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.stubs\0""",0x7000100A70E0,0x0
81124,1163007,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81125,1163026,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81126,1163030,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinexactpackagesindex\0""",0x1FF,0x0
81127,1163048,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinexactpackagesindex\0""",0x7000100A70E0,0x0
81128,1163052,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81129,1163069,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81130,1163073,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinexactpackagesindex\0""",0x1FF,0x0
81131,1163091,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinexactpackagesindex\0""",0x7000100A70E0,0x0
81132,1163127,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/javafx.id.name\0""",0x1FF,0x0
81133,1163145,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/javafx.id.name\0""",0x7000100A70E0,0x0
81134,1163150,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/javafx.id.name\0""",0x1FF,0x0
81135,1163168,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/javafx.id.name\0""",0x7000100A70E0,0x0
81136,1163220,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.springxmlbeansindex\0""",0x1FF,0x0
81137,1163240,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.springxmlbeansindex\0""",0x7000100A70E0,0x0
81138,1163245,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.springxmlbeansindex\0""",0x1FF,0x0
81139,1163262,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.springxmlbeansindex\0""",0x7000100A70E0,0x0
81140,1163306,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81141,1163324,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81142,1163328,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/protobuf.byshortname\0""",0x1FF,0x0
81143,1163346,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/protobuf.byshortname\0""",0x7000100A70E0,0x0
81144,1163350,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81145,1163367,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81146,1163371,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/protobuf.byshortname\0""",0x1FF,0x0
81147,1163388,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/protobuf.byshortname\0""",0x7000100A70E0,0x0
81148,1163428,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.org.jetbrains.kotlin.idea.vfilefinder.kotlinjavascriptmetafileindex\0""",0x1FF,0x0
81149,1163448,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.org.jetbrains.kotlin.idea.vfilefinder.kotlinjavascriptmetafileindex\0""",0x7000100A70E0,0x0
81150,1163453,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.org.jetbrains.kotlin.idea.vfilefinder.kotlinjavascriptmetafileindex\0""",0x1FF,0x0
81151,1163472,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.org.jetbrains.kotlin.idea.vfilefinder.kotlinjavascriptmetafileindex\0""",0x7000100A70E0,0x0
81152,1163502,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.pluginiddependenciesindex\0""",0x1FF,0x0
81153,1163521,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.pluginiddependenciesindex\0""",0x7000100A70E0,0x0
81154,1163525,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.pluginiddependenciesindex\0""",0x1FF,0x0
81155,1163543,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.pluginiddependenciesindex\0""",0x7000100A70E0,0x0
81156,1163585,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.xmltagnames\0""",0x1FF,0x0
81157,1163603,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.xmltagnames\0""",0x7000100A70E0,0x0
81158,1163608,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.xmltagnames\0""",0x1FF,0x0
81159,1163626,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.xmltagnames\0""",0x7000100A70E0,0x0
81160,1163671,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.frameworkdetectionindex\0""",0x1FF,0x0
81161,1163690,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.frameworkdetectionindex\0""",0x7000100A70E0,0x0
81162,1163695,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.frameworkdetectionindex\0""",0x1FF,0x0
81163,1163713,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.frameworkdetectionindex\0""",0x7000100A70E0,0x0
81164,1163774,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x1FF,0x0
81165,1163793,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/shared.index.hashes.org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x7000100A70E0,0x0
81166,1163798,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x1FF,0x0
81167,1163815,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/shared.index.hashes.org.jetbrains.kotlin.idea.versions.kotlinjsmetadataversionindex\0""",0x7000100A70E0,0x0
81168,1163842,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81169,1163859,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81170,1163864,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/org.jetbrains.kotlin.idea.stubindex.kotlintypealiasbyexpansionshortnameindex\0""",0x1FF,0x0
81171,1163880,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/org.jetbrains.kotlin.idea.stubindex.kotlintypealiasbyexpansionshortnameindex\0""",0x7000100A70E0,0x0
81172,1163884,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81173,1163899,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81174,1163903,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/org.jetbrains.kotlin.idea.stubindex.kotlintypealiasbyexpansionshortnameindex\0""",0x1FF,0x0
81175,1163920,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/org.jetbrains.kotlin.idea.stubindex.kotlintypealiasbyexpansionshortnameindex\0""",0x7000100A70E0,0x0
81176,1163949,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81177,1163966,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81178,1163970,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinprobablycontractedfunctionshortnameindex\0""",0x1FF,0x0
81179,1163987,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinprobablycontractedfunctionshortnameindex\0""",0x7000100A70E0,0x0
81180,1163991,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81181,1164006,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81182,1164010,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinprobablycontractedfunctionshortnameindex\0""",0x1FF,0x0
81183,1164026,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/org.jetbrains.kotlin.idea.stubindex.kotlinprobablycontractedfunctionshortnameindex\0""",0x7000100A70E0,0x0
81184,1164053,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/yaml.keys.name\0""",0x1FF,0x0
81185,1164070,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/yaml.keys.name\0""",0x7000100A70E0,0x0
81186,1164075,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/yaml.keys.name\0""",0x1FF,0x0
81187,1164090,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/yaml.keys.name\0""",0x7000100A70E0,0x0
81188,1164136,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81189,1164154,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81190,1164158,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/protobuf.byqualifiedname\0""",0x1FF,0x0
81191,1164173,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/protobuf.byqualifiedname\0""",0x7000100A70E0,0x0
81192,1164177,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81193,1164192,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81194,1164196,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/protobuf.byqualifiedname\0""",0x1FF,0x0
81195,1164211,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/protobuf.byqualifiedname\0""",0x7000100A70E0,0x0
81196,1164247,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/spring.spifileindex\0""",0x1FF,0x0
81197,1164264,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/spring.spifileindex\0""",0x7000100A70E0,0x0
81198,1164268,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/spring.spifileindex\0""",0x1FF,0x0
81199,1164284,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/spring.spifileindex\0""",0x7000100A70E0,0x0
81200,1164332,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/bindingxmlindex\0""",0x1FF,0x0
81201,1164349,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/bindingxmlindex\0""",0x7000100A70E0,0x0
81202,1164353,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/bindingxmlindex\0""",0x1FF,0x0
81203,1164369,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/bindingxmlindex\0""",0x7000100A70E0,0x0
81204,1164412,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81205,1164430,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81206,1164433,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/angular2.metadata.function.index\0""",0x1FF,0x0
81207,1164449,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/angular2.metadata.function.index\0""",0x7000100A70E0,0x0
81208,1164453,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81209,1164468,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81210,1164472,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/angular2.metadata.function.index\0""",0x1FF,0x0
81211,1164488,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/angular2.metadata.function.index\0""",0x7000100A70E0,0x0
81212,1164523,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81213,1164540,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81214,1164544,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/angular2.metadata.classname.index\0""",0x1FF,0x0
81215,1164560,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/angular2.metadata.classname.index\0""",0x7000100A70E0,0x0
81216,1164564,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81217,1164579,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81218,1164583,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/angular2.metadata.classname.index\0""",0x1FF,0x0
81219,1164598,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/angular2.metadata.classname.index\0""",0x7000100A70E0,0x0
81220,1164630,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81221,1164648,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81222,1164651,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/gr.annot.method.name\0""",0x1FF,0x0
81223,1164667,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/gr.annot.method.name\0""",0x7000100A70E0,0x0
81224,1164671,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81225,1164686,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81226,1164689,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/gr.annot.method.name\0""",0x1FF,0x0
81227,1164705,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/gr.annot.method.name\0""",0x7000100A70E0,0x0
81228,1164741,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
81229,1164759,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x7000100A70E0,0x0
81230,1164763,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/js.lazy.packages\0""",0x1FF,0x0
81231,1164779,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs/js.lazy.packages\0""",0x7000100A70E0,0x0
81232,1164783,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x1FF,0x0
81233,1164798,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs\0""",0x7000100A70E0,0x0
81234,1164802,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/js.lazy.packages\0""",0x1FF,0x0
81235,1164817,lstat64,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/.persistent/stubs/js.lazy.packages\0""",0x7000100A70E0,0x0
81236,1164850,mkdir,"""/Users/vakosta/Library/Caches/JetBrains/IntelliJIdea2022.3/index/stubs\0""",0x1FF,0x0
